0,0,0,10,
0.31377,-0.196903,3.33583,6.86107,
0.62754,0.715093,5.68637,3.72602,
0.94131,2.42664,7.05536,0.532997,
1.25508,4.63077,7.41986,-2.65842,
1.56885,7.01215,6.77034,-5.69775,
1.88262,9.2495,5.14105,-8.37356,
2.19639,11.0281,2.63113,-10.4444,
2.51016,12.0597,-0.583987,-11.6706,
2.82393,12.1062,-4.25116,-11.8469,
3.1377,11.005,-8.04842,-10.8322,
3.45147,8.69197,-11.6037,-8.57683,
3.76524,5.21854,-14.5221,-5.14182,
4.07901,0.761415,-16.4205,-0.710282,
4.39278,-4.37887,-16.9658,4.41295,
4.65593,-8.90624,-16.0385,8.93087,
4.91907,-13.2521,-13.9093,13.2699,
5.18222,-17.0975,-10.6083,17.1104,
5.40121,-19.5857,-6.96144,19.5956,
5.62021,-21.2987,-2.73514,21.3064,
5.8392,-22.1023,1.90647,22.1082,
6.05819,-21.8967,6.76825,21.9012,
6.27719,-20.624,11.6313,20.6275,
6.49618,-18.2737,16.2619,18.2764,
6.71517,-14.8863,20.4219,14.8884,
6.93416,-10.5551,23.8795,10.5567,
7.15316,-5.42487,26.4213,5.42612,
7.37215,0.31143,27.8635,-0.310471,
7.59114,6.41871,28.0628,-6.41797,
7.81014,12.6282,26.9259,-12.6276,
8.02913,18.6482,24.4177,-18.6478,
8.24812,24.1765,20.5666,-24.1761,
8.42817,28.0377,16.3454,-28.0374,
8.60822,31.1635,11.4013,-31.1633,
8.78827,33.4192,5.86212,-33.419,
8.96831,34.6917,-0.119252,-34.6916,
9.14836,34.8952,-6.36862,-34.895,
9.32841,33.9743,-12.6952,-33.9742,
9.50846,31.9079,-18.8968,-31.9078,
9.68851,28.7111,-24.7666,-28.7111,
9.86855,24.4364,-30.0985,-24.4363,
10.0486,19.1735,-34.6951,-19.1734,
